Date,Close,High,Low,Open,Volume,Symbol
,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,
2020-06-11,1953.792236328125,1982.8177217482219,1943.3597698240258,1961.3037027706816,2566927,HINDUNILVR.NS
2020-06-12,1954.116455078125,1965.0125843210567,1914.9367563109874,1915.168588848071,2338438,HINDUNILVR.NS
2020-06-15,1932.834716796875,1976.7900853505973,1907.3331318682565,1961.1647046064702,2830788,HINDUNILVR.NS
2020-06-16,1925.4625244140625,1965.9404049276109,1907.5185910075922,1956.4816803346496,2806772,HINDUNILVR.NS
2020-06-17,1927.22412109375,1946.4662240711086,1912.433248663241,1925.1376279998196,2293301,HINDUNILVR.NS
2020-06-18,1915.26171875,1933.344659534716,1904.7828411180317,1919.805546643996,2326907,HINDUNILVR.NS
2020-06-19,1953.9150390625,1960.6840673903953,1920.5367269628778,1941.0772267164914,4673528,HINDUNILVR.NS
2020-06-22,1961.4312744140625,1978.3303690078883,1948.5467319869883,1970.0208933840659,2487234,HINDUNILVR.NS
2020-06-23,2012.92236328125,2027.9076379627554,1962.1781261419808,1974.6890673532355,4308814,HINDUNILVR.NS
2020-06-24,1988.973876953125,2032.4822509793128,1984.0254385059138,2027.9074129105152,3023015,HINDUNILVR.NS
2020-06-25,2028.98095703125,2044.6197452223544,1971.8878005738986,1974.0352618546297,8208033,HINDUNILVR.NS
2020-06-26,2011.2884521484375,2035.3301747446378,1996.2566769227244,2035.3301747446378,3176048,HINDUNILVR.NS
2020-06-29,2038.131103515625,2050.2219433712244,1998.030490429703,2008.627612479489,3295039,HINDUNILVR.NS
2020-06-30,2035.3770751953125,2054.0035308221477,2026.0404831072608,2048.2616178656526,2373109,HINDUNILVR.NS
2020-07-01,2026.4139404296875,2046.3943851008955,2016.7974325318044,2038.1781381306862,1532931,HINDUNILVR.NS
2020-07-02,2009.000732421875,2033.1824090935372,2002.6985342372125,2023.939276267001,2588838,HINDUNILVR.NS
2020-07-03,2029.4945068359375,2042.845876020318,2013.2956600791044,2021.838548684643,1946252,HINDUNILVR.NS
2020-07-06,2018.197509765625,2035.3767452450973,2010.1679506938965,2035.3767452450973,2375516,HINDUNILVR.NS
2020-07-07,2011.2418212890625,2031.175535859314,2008.9076733508193,2031.175535859314,2014667,HINDUNILVR.NS
2020-07-08,2041.0257568359375,2048.4483019492495,1984.0258166099159,2010.7285611311227,3349938,HINDUNILVR.NS
2020-07-09,2031.5020751953125,2072.6763013193013,2027.0204662986894,2038.1776460282563,3039571,HINDUNILVR.NS
2020-07-10,2076.271240234375,2083.9271995902814,2023.659456540187,2026.0403329349956,3179516,HINDUNILVR.NS
2020-07-13,2114.970947265625,2124.074122074516,2086.7277638841947,2090.4623997032268,4556662,HINDUNILVR.NS
2020-07-14,2086.494873046875,2119.359630917607,2078.8856418326154,2114.551377270923,2403256,HINDUNILVR.NS
2020-07-15,2124.214111328125,2139.0126971587338,2086.774523452033,2088.8285275942285,2474512,HINDUNILVR.NS
2020-07-16,2136.072021484375,2139.2930997277786,2089.5290250787693,2124.307825875992,2495150,HINDUNILVR.NS
2020-07-17,2179.674072265625,2184.7624691798023,2129.6765778628755,2133.4112145623285,3088712,HINDUNILVR.NS
2020-07-20,2176.312744140625,2187.8435257891824,2147.9763257822433,2179.6740082490664,2816219,HINDUNILVR.NS
2020-07-21,2164.221923828125,2194.0990168231638,2154.8853322671753,2192.2316985109737,3037810,HINDUNILVR.NS
2020-07-22,2099.332275390625,2175.42548439411,2092.5632475958364,2175.42548439411,6950011,HINDUNILVR.NS
2020-07-23,2064.6474609375,2116.7454644110157,2059.2321917320523,2110.069891992329,3936886,HINDUNILVR.NS
2020-07-24,2062.733154296875,2072.7232613641754,2024.2197153188245,2054.050078829363,4203314,HINDUNILVR.NS
2020-07-27,2074.12353515625,2087.614862551003,2039.8115658035638,2070.622313793731,2209409,HINDUNILVR.NS
2020-07-28,2093.777099609375,2095.9710615595322,2064.366840216431,2082.946563702905,1567837,HINDUNILVR.NS
2020-07-29,2083.2734375,2112.123410325433,2068.054749734802,2086.727930319315,2404978,HINDUNILVR.NS
2020-07-30,2058.70751953125,2098.51077595056,2053.55043679587,2092.181628957139,2044966,HINDUNILVR.NS
2020-07-31,2072.115478515625,2083.4142222583373,2042.204494158588,2060.4886941751593,1715659,HINDUNILVR.NS
2020-08-03,2067.05224609375,2084.4457231158976,2052.0967539663243,2072.021843659902,1683773,HINDUNILVR.NS
2020-08-04,2060.769775390625,2080.5540776129105,2039.4851397374473,2072.11521713131,1981720,HINDUNILVR.NS
2020-08-05,2057.72265625,2072.115466004367,2045.0643640072649,2064.7081124816814,1715477,HINDUNILVR.NS
2020-08-06,2082.007568359375,2090.0245319304763,2055.378365756025,2062.8326470377065,1824483,HINDUNILVR.NS
2020-08-07,2072.724853515625,2095.462894540482,2067.5208437035067,2084.3985648765965,1777905,HINDUNILVR.NS
2020-08-10,2069.161865234375,2087.914889956109,2061.7075836912372,2079.7104416403504,1476289,HINDUNILVR.NS
2020-08-11,2072.818603515625,2093.7752001088484,2068.4586168563005,2071.3184988963585,1665204,HINDUNILVR.NS
2020-08-12,2058.23828125,2071.3184699640265,2053.456168468257,2062.8796089977186,1170430,HINDUNILVR.NS
2020-08-13,2061.567138671875,2078.77313325938,2054.3472687469753,2062.8330596168857,1453227,HINDUNILVR.NS
2020-08-14,2038.3597412109375,2077.8349461506996,2030.0616658936628,2066.58313236288,1341664,HINDUNILVR.NS
2020-08-17,2059.129150390625,2066.2551628059946,2033.2029550068132,2045.0174527663692,1559579,HINDUNILVR.NS
2020-08-18,2076.28857421875,2078.5857744812297,2052.5190184584794,2066.5837901701634,1339001,HINDUNILVR.NS
2020-08-19,2056.83203125,2082.992411563023,2053.4563949237095,2068.4588160738367,1585107,HINDUNILVR.NS
2020-08-20,2049.424560546875,2060.77023372971,2040.469944149374,2049.7059017425836,1768939,HINDUNILVR.NS
2020-08-21,2064.75537109375,2070.9906615172413,2051.0655686888144,2061.8954884569675,1374411,HINDUNILVR.NS
2020-08-24,2057.58203125,2073.7565170404678,2054.5815927132066,2068.45887847951,1665474,HINDUNILVR.NS
2020-08-25,2043.23583984375,2060.863499427115,2039.3913783217117,2057.581720197632,1774886,HINDUNILVR.NS
2020-08-26,2046.7054443359375,2049.7058829187577,2025.3269474403096,2046.0491341645065,2148146,HINDUNILVR.NS
2020-08-27,2035.875244140625,2051.580902328008,2030.0149239214522,2046.0488516086123,2172203,HINDUNILVR.NS
2020-08-28,2017.7784423828125,2046.3298754738842,2011.261812364263,2043.1419529798272,1939520,HINDUNILVR.NS
2020-08-31,1985.3358154296875,2032.3589304891946,1969.67685760534,2017.8253372146467,3534275,HINDUNILVR.NS
2020-09-01,2026.8739013671875,2039.2977814617377,1980.0851916729594,2015.9034266146236,1738003,HINDUNILVR.NS
2020-09-02,2008.120849609375,2048.76812573086,2003.3389652484097,2035.6410073051247,1667810,HINDUNILVR.NS
2020-09-03,2005.7767333984375,2020.1228444052863,1995.3689410780498,2018.7632957724745,1590711,HINDUNILVR.NS
2020-09-04,1992.180419921875,2007.4172510760425,1982.1945267637154,1983.132177911664,1590491,HINDUNILVR.NS
2020-09-07,2027.764892578125,2038.454026355807,1972.5840192944015,1993.446761744455,2362992,HINDUNILVR.NS
